1,Gerard Abood,Australia
2,Afzaal Ahmed,Pakistan
3,Mesbahuddin Ahmed,Pakistan
4,Javed Akhtar,Bangladesh
5,A. F. M. Akhtaruddin,Pakistan
6,Rizwan Akram,Bangladesh
7,Jahangir Alam,Netherlands
8,Brian Aldridge,Bangladesh
9,Akbar Ali,New Zealand
10,Iftikhar Ali,United Arab Emirates
11,Masroor Ali,United Arab Emirates
12,Bill Alley,Pakistan
13,Phillip Alleyne,England
14,Ignatius Anandappa,West Indies
15,Basil Anthony,Sri Lanka
16,David Archer,Sri Lanka
17,Sudhir Asnani,West Indies
18,Tariq Ata,India
19,Khalid Aziz,Pakistan
20,Saleem Badar,Pakistan
21,Niels Bagh,Pakistan
22,Rob Bailey,Denmark
23,Robin Bailhache,England
24,Mohamed Baksh,Australia
25,Chris Balderstone,West Indies
26,Paul Baldwin,England
27,Sameer Bandekar,England
28,Subrata Banerjee,United States
29,S. K. Bansal,India
30,Kevan Barbour,India
31,Lloyd Barker,Zimbabwe
32,Gary Baxter,West Indies
33,Karran Bayney,New Zealand
34,Danzel Becker,Canada
35,Mark Benson,South Africa
36,Aloke Bhattacharjee,England
37,Dickie Bird,India
38,Jack Birkenshaw,England
39,Roland Black,England
40,Sukha Bose,Ireland
41,Billy Bowden,India
42,Gregory Brathwaite,New Zealand
43,Bruce Bricknell,West Indies
44,Tom Brooks,New Zealand
45,Chris Brown,Australia
46,George Browne,New Zealand
47,Steve Bucknor,West Indies
48,Lloyd Budd,West Indies
49,Feroze Butt,England
50,Ghafoor Butt,Pakistan
51,Dooland Buultjens,Pakistan
52,Kevin Carmody,Sri Lanka
53,Iknow Chabi,Australia
54,Anil Chaudhary,Zimbabwe
55,Owen Chirombe,India
56,Vijay Chopra,Zimbabwe
57,S. Choudhary,India
58,Johan Cloete,India
59,Jack Collins,South Africa
60,David Constant,Australia
61,B. C. Cooray,England
62,William Copeland,Sri Lanka
63,Charles Coventry,Australia
64,Graham Cowan,Zimbabwe
65,Doug Cowie,New Zealand
66,Stan Cowman,New Zealand
67,Tony Crafter,New Zealand
68,Peter Cronin,Australia
69,Clyde Cumberbatch,Australia
70,Aleem Dar,West Indies
71,Tabarak Dar,Kenya
72,Salil Das,Pakistan
73,Narendra Dave,Hong Kong
74,Steve Davis,India
75,Asoka de Silva,Kenya
76,Eric Dempster,Australia
77,Sankara Dendapani,Sri Lanka
78,Suresh Deo,New Zealand
79,Kumar Dharmasena,India
80,Wilf Diedricks,India
81,Roger Dill,Sri Lanka
82,Rockie D'Mello,South Africa
83,Billy Doctrove,Bermuda
84,Dara Dotiwalla,West Indies
85,Alex Dowdalls,India
86,Barry Dudleston,Scotland
87,Nigel Duguid,England
88,Clyde Duncan,West Indies
89,Steve Dunne,West Indies
90,Gary Duperouzel,New Zealand
91,Ahmed Shah Durrani,Australia
92,Nilay Dutta,Afghanistan
93,Charlie Elliott,India
94,Ross Emerson,England
95,Marais Erasmus,Australia
96,Ahmed Esat,South Africa
97,David Evans,Zimbabwe
98,Graeme Evans,England
99,Ric Evans,Zimbabwe
100,Arthur Fagg,Australia
101,Herbi Felsinger,England
102,Jeff Fenwick,Sri Lanka
103,Nigel Fleming,Zimbabwe
104,K. T. Francis,Zimbabwe
105,Dick French,Sri Lanka
106,Simon Fry,Australia
107,Chris Gaffaney,Australia
108,Bhairab Ganguli,New Zealand
109,Ralph Gardiner,India
110,Johnny Gayle,New Zealand
111,Antonio Gaynor,West Indies
112,Shaun George,West Indies
113,Nadeem Ghauri,South Africa
114,Jiban Ghosh,Pakistan
115,Sunit Ghosh,India
116,Mohammad Ghouse,India
117,K. S. Giridharan,India
118,Francis Gomes,India
119,Fred Goodall,India
120,Quintin Goosen,New Zealand
121,Ralph Gosein,Zimbabwe
122,Madhav Gothoskar,West Indies
123,Michael Gough,India
124,Ian Gould,England
125,Ram Babu Gupta,England
126,Satish Gupta,India
127,Mahendra Gupte,India
128,V. M. Gupte,India
129,Allan Haggo,India
130,Zameer Haider,Scotland
131,Shaun Haig,Pakistan
132,Darrell Hair,New Zealand
133,Shahul Hameed,Australia
134,John Hampshire,Indonesia
135,Tej Handu,England
136,Lyndon Hannibal,India
137,S. N. Hanumantha Rao,Sri Lanka
138,Enamul Haque,India
139,Krishna Hariharan,Bangladesh
140,Les Harmer,India
141,Daryl Harper,New Zealand
142,Rocky Harris,Australia
143,Peter Hartley,Australia
144,Mick Harvey,England
145,Azhar Hasan,Australia
146,John Hastie,Pakistan
147,Mark Hawthorne,New Zealand
148,Khizer Hayat,Ireland
149,Sanjay Hazare,Pakistan
150,Ian Higginson,India
